soc_id,EA001,EA002,EA003,EA004,EA005,EA006,EA007,EA008,EA009,EA010,EA011,EA012,EA013,EA014,EA015,EA016,EA017,EA018,EA019,EA020,EA021,EA022,EA023,EA024,EA025,EA026,EA027,EA028,EA029,EA030,EA032,EA033,EA037,EA039,EA040,EA041,EA042,EA043,EA044,EA051,EA054,EA055,EA062,EA065,EA066,EA067,EA068,EA069,EA070,EA071,EA072,EA073,EA076,EA079,EA080,EA081,EA082,EA083,EA201,EA202,AnnualMeanTemperature,MonthlyMeanPrecipitation,PrecipitationConstancy,PrecipitationPredictability,TemperatureConstancy,TemperaturePredictability
Ab15,0.0,1.0,0.0,3.0,6.0,1.0,8.0,5.0,5.0,9.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,4.0,1.0,1.0,9.0,9.0,6.0,4.0,5.0,2.0,5.0,3.0,6.0,7.0,3.0,3.0,6.0,1.0,7.0,2.0,6.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,2.0,9.0,1.0,9.0,,,1.0,1.0,7.0,2.0,2.0,9.0,4.0,8.0,1.0,100000.0,14.54028018,92810.08738,0.442059338,0.630116989,0.483198363,0.710894785
Ab16,1.0,1.0,1.0,2.0,5.0,1.0,8.0,7.0,5.0,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,4.0,1.0,1.0,9.0,9.0,12.0,5.0,15.0,9.0,6.0,3.0,6.0,6.0,3.0,2.0,,1.0,3.0,1.0,6.0,1.0,,1.0,5.0,,9.0,9.0,,,1.0,9.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,4.0,8.0,2.0,,23.75917944,86587.83452,0.456646838,0.581021446,0.549727866,0.750972107
Ab17,0.0,1.0,2.0,2.0,5.0,1.0,8.0,5.0,5.0,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,3.0,2.0,2.0,9.0,9.0,8.0,7.0,15.0,9.0,6.0,,,,,,,,,,9.0,2.0,,,,,,,,,1.0,9.0,3.0,2.0,1.0,2.0,7.0,2.0,2.0,2.0,4.0,8.0,2.0,100000.0,23.36566077,94587.40701,0.407829261,0.593148765,0.515264111,0.719480027
Ab18,1.0,1.0,1.0,2.0,5.0,1.0,8.0,4.0,4.0,8.0,1.0,8.0,3.0,9.0,6.0,1.0,4.0,3.0,1.0,1.0,2.0,9.0,8.0,7.0,15.0,9.0,6.0,3.0,6.0,6.0,2.0,3.0,6.0,1.0,7.0,2.0,6.0,7.0,1.0,1.0,4.0,3.0,9.0,9.0,,,,,3.0,3.0,1.0,2.0,7.0,2.0,2.0,,4.0,8.0,2.0,700000.0,18.61544463,80000.56697,0.368955341,0.603421812,0.489421415,0.695677228
Ab19,0.0,1.0,1.0,3.0,5.0,1.0,8.0,5.0,5.0,2.0,1.0,10.0,2.0,6.0,,,1.0,1.0,4.0,4.0,9.0,9.0,12.0,5.0,15.0,9.0,4.0,3.0,6.0,5.0,3.0,3.0,6.0,1.0,7.0,2.0,6.0,3.0,1.0,1.0,6.0,3.0,9.0,9.0,4.0,2.0,1.0,9.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,8.0,1.0,60000.0,21.76799113,86243.57324,0.177936408,0.467616848,0.500518882,0.687528585
Ab2,1.0,1.0,0.0,2.0,6.0,1.0,8.0,8.0,4.0,8.0,1.0,8.0,2.0,6.0,6.0,2.0,4.0,4.0,1.0,1.0,9.0,9.0,1.0,3.0,15.0,9.0,5.0,3.0,6.0,6.0,3.0,4.0,6.0,2.0,7.0,2.0,6.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,11.0,3.0,8.0,2.0,180000.0,17.88512326,155132.0623,0.494327395,0.65205602,0.509646723,0.727439082
Ab20,0.0,1.0,1.0,3.0,5.0,1.0,8.0,5.0,5.0,10.0,1.0,10.0,9.0,11.0,,,1.0,1.0,4.0,4.0,9.0,9.0,,,,,,,,,,,,,,,9.0,3.0,,,,,,,4.0,9.0,1.0,9.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,8.0,2.0,80000.0,21.44085674,112826.316,0.19538891,0.495639365,0.586219375,0.725594389
Ab21a,1.0,2.0,0.0,1.0,6.0,1.0,8.0,7.0,5.0,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,4.0,1.0,1.0,9.0,9.0,,,,,,3.0,6.0,5.0,3.0,2.0,6.0,1.0,3.0,1.0,6.0,1.0,,,,,,,1.0,9.0,1.0,9.0,3.0,2.0,1.0,1.0,6.0,5.0,2.0,11.0,3.0,8.0,2.0,10000.0,25.99188671,76838.78966,0.361171595,0.578387378,0.639236125,0.775561936
Ab21b,0.0,0.0,0.0,4.0,6.0,1.0,8.0,7.0,5.0,8.0,1.0,8.0,9.0,11.0,,,4.0,4.0,1.0,1.0,9.0,9.0,8.0,7.0,15.0,9.0,5.0,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,15.87293026,115181.4103,0.545597755,0.70170868,0.489702093,0.725419844
Ab22,0.0,1.0,1.0,2.0,6.0,1.0,8.0,,,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,4.0,1.0,1.0,9.0,9.0,8.0,7.0,15.0,9.0,6.0,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,23.73435276,84481.0817,0.442278883,0.584157709,0.52548313,0.730486965
Ab3,1.0,2.0,1.0,2.0,4.0,3.0,2.0,5.0,5.0,9.0,1.0,10.0,9.0,1.0,3.0,9.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,8.0,15.0,9.0,4.0,5.0,6.0,3.0,2.0,4.0,1.0,1.0,7.0,2.0,7.0,5.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,4.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,4.0,8.0,1.0,67200.0,21.27145619,116187.8667,0.218208706,0.535296134,0.511461169,0.727195207
Ab4,0.0,1.0,1.0,3.0,5.0,1.0,8.0,8.0,4.0,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,3.0,1.0,1.0,9.0,9.0,12.0,5.0,15.0,9.0,6.0,3.0,6.0,7.0,2.0,3.0,6.0,1.0,7.0,2.0,6.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,2.0,4.0,8.0,2.0,,20.19768344,102638.1489,0.41920984,0.596140952,0.5036194,0.708435015
Ab5,1.0,1.0,1.0,2.0,5.0,1.0,8.0,5.0,5.0,8.0,1.0,8.0,9.0,1.0,6.0,2.0,3.0,1.0,3.0,1.0,9.0,9.0,1.0,3.0,2.0,2.0,5.0,3.0,6.0,7.0,3.0,3.0,1.0,1.0,7.0,1.0,6.0,2.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,8.0,2.0,1200000.0,17.78917906,122622.7043,0.285961051,0.568299065,0.613428828,0.744416429
Ab6,1.0,1.0,0.0,2.0,6.0,1.0,8.0,8.0,4.0,8.0,1.0,8.0,9.0,11.0,2.0,9.0,4.0,3.0,3.0,1.0,9.0,9.0,1.0,3.0,2.0,2.0,5.0,5.0,6.0,7.0,3.0,3.0,7.0,1.0,7.0,2.0,7.0,2.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,4.0,8.0,2.0,150000.0,19.08799218,78645.35105,0.382293562,0.581898872,0.4928461,0.685704141
Ab7,0.0,1.0,1.0,4.0,4.0,1.0,8.0,7.0,5.0,10.0,1.0,1.0,9.0,11.0,6.0,1.0,1.0,1.0,4.0,4.0,9.0,9.0,1.0,3.0,15.0,9.0,5.0,3.0,6.0,6.0,3.0,3.0,6.0,1.0,7.0,2.0,8.0,3.0,,1.0,4.0,,9.0,9.0,4.0,9.0,1.0,9.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,7.0,4.0,8.0,1.0,40000.0,23.2363888,101434.1036,0.191670509,0.498186584,0.636541953,0.729965683
Ab8,1.0,1.0,0.0,3.0,5.0,1.0,8.0,5.0,5.0,9.0,1.0,8.0,9.0,11.0,3.0,9.0,4.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,8.0,1.0,5.0,5.0,6.0,6.0,3.0,4.0,1.0,2.0,7.0,2.0,7.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,4.0,8.0,1.0,900000.0,10.67785505,124839.5988,0.499807733,0.681581301,0.450780796,0.709214
Ab9,0.0,1.0,0.0,4.0,5.0,1.0,8.0,5.0,5.0,8.0,1.0,8.0,9.0,11.0,3.0,9.0,4.0,4.0,1.0,1.0,9.0,9.0,7.0,8.0,15.0,9.0,5.0,3.0,6.0,8.0,3.0,4.0,1.0,1.0,7.0,2.0,6.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,3.0,9.0,3.0,9.0,1.0,1.0,3.0,5.0,7.0,2.0,2.0,11.0,3.0,8.0,2.0,300000.0,19.91998232,81720.68357,0.288650029,0.535129123,0.479781751,0.682304406
Ac1,1.0,0.0,0.0,3.0,6.0,1.0,8.0,7.0,5.0,10.0,1.0,10.0,9.0,1.0,3.0,9.0,3.0,3.0,4.0,4.0,9.0,9.0,9.0,4.0,6.0,3.0,5.0,3.0,6.0,3.0,3.0,2.0,1.0,1.0,7.0,2.0,6.0,2.0,1.0,1.0,5.0,3.0,9.0,9.0,2.0,9.0,1.0,9.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,8.0,2.0,22000.0,20.83001114,95912.51318,0.25962776,0.570235478,0.473884596,0.694795848
Ac10,1.0,2.0,1.0,1.0,5.0,2.0,3.0,5.0,5.0,9.0,1.0,1.0,3.0,9.0,2.0,9.0,1.0,1.0,4.0,4.0,9.0,9.0,1.0,3.0,1.0,1.0,5.0,3.0,6.0,7.0,3.0,3.0,1.0,1.0,7.0,2.0,6.0,3.0,1.0,1.0,5.0,3.0,9.0,9.0,1.0,9.0,1.0,9.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,8.0,4.0,8.0,1.0,750000.0,19.1377746,106646.6804,0.387630684,0.672457139,0.498038231,0.730650485
Ac11,0.0,1.0,3.0,0.0,6.0,3.0,8.0,7.0,5.0,1.0,1.0,1.0,9.0,10.0,6.0,1.0,1.0,1.0,4.0,4.0,9.0,9.0,1.0,3.0,1.0,1.0,5.0,3.0,6.0,7.0,3.0,2.0,6.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,2.0,3.0,3.0,9.0,1.0,9.0,1.0,9.0,4.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,8.0,8.0,2.0,90000.0,20.2280438,140786.9519,0.272678189,0.604561566,0.556067792,0.727379437
Ac12,0.0,3.0,1.0,1.0,5.0,3.0,8.0,2.0,2.0,1.0,1.0,1.0,9.0,11.0,6.0,1.0,1.0,1.0,4.0,4.0,9.0,9.0,1.0,3.0,2.0,2.0,5.0,3.0,5.0,7.0,2.0,3.0,,1.0,3.0,1.0,6.0,3.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,11.0,3.0,8.0,2.0,600000.0,20.4995579,130821.0527,0.293028104,0.60653981,0.602888053,0.755425347
Ac13,1.0,0.0,4.0,1.0,4.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,9.0,10.0,2.0,9.0,1.0,1.0,4.0,3.0,9.0,9.0,1.0,3.0,2.0,2.0,5.0,3.0,5.0,6.0,3.0,1.0,,1.0,3.0,1.0,8.0,3.0,1.0,,6.0,3.0,,9.0,1.0,9.0,1.0,9.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,,4.0,8.0,2.0,50000.0,19.1714263,108738.2752,0.411481728,0.70873827,0.534049365,0.760103706
Ac14,1.0,1.0,1.0,1.0,6.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,9.0,11.0,6.0,1.0,1.0,1.0,4.0,4.0,9.0,9.0,1.0,3.0,15.0,9.0,,3.0,5.0,7.0,3.0,2.0,6.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,4.0,2.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,2.0,,22.15157376,104336.349,0.462430741,0.681462412,0.682152546,0.779768614
Ac15,1.0,0.0,2.0,1.0,6.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,9.0,10.0,6.0,1.0,1.0,1.0,3.0,3.0,9.0,9.0,13.0,2.0,12.0,1.0,5.0,,,,,,,,,,9.0,3.0,,,,,,,1.0,9.0,1.0,9.0,4.0,3.0,2.0,4.0,2.0,5.0,2.0,,,,2.0,,22.34250698,151544.1363,0.498829883,0.721182395,0.737183627,0.804705348
Ac16,1.0,1.0,1.0,1.0,6.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,9.0,11.0,6.0,2.0,1.0,1.0,4.0,4.0,9.0,9.0,,,,,,3.0,4.0,7.0,3.0,1.0,10.0,1.0,3.0,1.0,6.0,3.0,,,,,,,,,,,4.0,3.0,2.0,4.0,,5.0,2.0,,8.0,8.0,2.0,,22.86375475,211498.7061,0.621112282,0.77471115,0.770191194,0.82032731
Ac17,1.0,2.0,1.0,0.0,6.0,1.0,8.0,5.0,5.0,10.0,1.0,10.0,9.0,1.0,3.0,9.0,1.0,1.0,4.0,1.0,9.0,9.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,7.0,3.0,4.0,6.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,2.0,3.0,2.0,4.0,3.0,5.0,2.0,3.0,8.0,8.0,2.0,80000.0,21.4750628,138862.8088,0.448797774,0.677494695,0.717400957,0.794785661
Ac18,1.0,1.0,1.0,1.0,6.0,1.0,8.0,7.0,5.0,1.0,1.0,1.0,9.0,11.0,6.0,1.0,1.0,1.0,4.0,3.0,9.0,9.0,,,,,,3.0,4.0,7.0,3.0,2.0,10.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,5.0,3.0,9.0,9.0,,,,,2.0,2.0,2.0,4.0,3.0,5.0,2.0,3.0,8.0,8.0,2.0,65000.0,23.3706818,134133.8354,0.517054339,0.743853065,0.713378544,0.8083986
Ac19,0.0,1.0,1.0,1.0,7.0,1.0,8.0,,,10.0,1.0,10.0,9.0,1.0,3.0,9.0,1.0,1.0,3.0,3.0,9.0,9.0,6.0,4.0,15.0,9.0,,3.0,5.0,7.0,3.0,1.0,3.0,1.0,3.0,1.0,6.0,3.0,,,,,,,,,,,3.0,3.0,6.0,5.0,3.0,5.0,2.0,,8.0,8.0,2.0,,21.95399209,167835.2813,0.567139259,0.76458195,0.749362796,0.815997666
Ac2,1.0,0.0,1.0,2.0,6.0,3.0,8.0,5.0,5.0,10.0,1.0,1.0,9.0,10.0,6.0,2.0,1.0,1.0,4.0,3.0,9.0,9.0,9.0,4.0,6.0,3.0,1.0,3.0,5.0,7.0,3.0,2.0,,1.0,3.0,1.0,6.0,3.0,,9.0,5.0,,10.0,9.0,4.0,9.0,1.0,9.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,,9.0,8.0,1.0,27000.0,22.38180871,158401.2746,0.399973206,0.672892711,0.706860798,0.778795684
Ac20,0.0,2.0,0.0,1.0,7.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,9.0,11.0,6.0,1.0,1.0,1.0,3.0,3.0,9.0,9.0,,,,,5.0,3.0,5.0,5.0,2.0,2.0,,1.0,3.0,1.0,6.0,3.0,,,,,,,,,,,4.0,2.0,2.0,4.0,3.0,5.0,2.0,,8.0,8.0,2.0,,21.53367678,111926.8943,0.414643014,0.640578826,0.694034379,0.776699738
Ac21,0.0,1.0,1.0,1.0,7.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,9.0,11.0,6.0,1.0,1.0,1.0,4.0,4.0,9.0,9.0,1.0,3.0,1.0,1.0,5.0,3.0,6.0,5.0,2.0,3.0,,1.0,3.0,1.0,6.0,3.0,,1.0,5.0,,9.0,9.0,4.0,9.0,1.0,9.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,8.0,9.0,8.0,2.0,,22.74003539,158147.7933,0.475119375,0.713038732,0.732145555,0.796229887
Ac22,1.0,2.0,1.0,1.0,5.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,9.0,10.0,4.0,9.0,1.0,1.0,4.0,4.0,9.0,9.0,8.0,7.0,15.0,9.0,5.0,3.0,5.0,4.0,3.0,2.0,,1.0,3.0,1.0,6.0,3.0,,1.0,5.0,,9.0,9.0,,,,,3.0,2.0,2.0,3.0,3.0,5.0,2.0,7.0,8.0,8.0,2.0,,22.95962107,175745.3144,0.50657143,0.742155013,0.727675394,0.810728757
Ac23,0.0,1.0,1.0,1.0,7.0,1.0,8.0,5.0,5.0,10.0,1.0,1.0,2.0,6.0,3.0,9.0,1.0,1.0,4.0,4.0,9.0,9.0,8.0,7.0,15.0,9.0,5.0,3.0,6.0,7.0,3.0,2.0,,1.0,3.0,1.0,6.0,3.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,2.0,9.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,3.0,8.0,8.0,1.0,10000.0,22.69386099,171380.6937,0.433095622,0.700393182,0.72430515,0.803629961
Ac24,0.0,1.0,2.0,0.0,7.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,9.0,10.0,6.0,1.0,1.0,1.0,4.0,3.0,9.0,9.0,8.0,7.0,15.0,9.0,,3.0,5.0,7.0,2.0,2.0,3.0,1.0,3.0,1.0,6.0,3.0,,,,,,,1.0,9.0,1.0,9.0,4.0,2.0,2.0,4.0,7.0,5.0,2.0,,8.0,8.0,2.0,,23.38122489,176269.015,0.558816349,0.769470269,0.753914575,0.816601814
Ac25,1.0,2.0,1.0,1.0,5.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,9.0,10.0,4.0,9.0,1.0,1.0,3.0,3.0,9.0,9.0,13.0,2.0,12.0,1.0,5.0,3.0,5.0,7.0,3.0,2.0,,1.0,3.0,1.0,6.0,3.0,,1.0,5.0,,9.0,9.0,1.0,9.0,1.0,9.0,4.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,9.0,8.0,2.0,,22.34250698,151544.1363,0.498829883,0.721182395,0.737183627,0.804705348
